S001 AuthoredConfig
S002 AuthoredProject
S003 CandidateAnnouncement
S004 CandidateArchive
S005 CandidateArtifact
S006 CandidateBeforeHook
S007 CandidateBeforePublish
S008 CandidateBuild
S009 CandidateBunBuild
S010 CandidateCatalog
S011 CandidateChangelog
S012 CandidateChangelogGroup
S013 CandidateChecksum
S014 CandidateCommandBuild
S015 CandidateConfig
S016 CandidateContentHole
S017 CandidateEnvironment
S018 CandidateGitHubPublish
S019 CandidateGitPolicy
S020 CandidateHomebrew
S021 CandidateHooks
S022 CandidateNightly
S023 CandidateNpmPublish
S024 CandidatePackageStore
S025 CandidatePlatform
S026 CandidatePrebuiltBuild
S027 CandidateProfileBuild
S028 CandidateProfileOutput
S029 CandidateProject
S030 CandidateProvider
S031 CandidatePublish
S032 CandidatePyPiPublish
S033 CandidateRiskHook
S034 CandidateScoop
S035 CandidateSelection
S036 CandidateSupplyAction
S037 CandidateSupplyMeasure
S038 CandidateSupplyOutput
S039 CandidateSupplyProfile
S040 CandidateWheel
S041 CandidateWheelBinary
S042 CandidateWheelBuild
S043 ProjectExecution
S044 ProjectScope

