repo,path,defaultBranchCommitSha,blobSha,immutableUrl,starsAtRetrieval,starBand,queryIds,searchRanks,toolSet,collectedAt,metadataRetrievedAt,selectionDigest,invocationCount,contentSha256,metadataRace
"jessebmiller/volition",".github/workflows/release-plz.yaml","525e108dd62f9cf0419c02c5a22b780c3ccd16ab","245fea128c5975eee7731278986836fa467331e6","https://github.com/jessebmiller/volition/blob/525e108dd62f9cf0419c02c5a22b780c3ccd16ab/.github/workflows/release-plz.yaml","2","B1","[""Q018""]","[{""queryId"":""Q018"",""rank"":42}]","[""release-plz""]","2026-07-26T13:59:10.046Z","2026-07-26T14:20:36.406Z","0009deb66a3e3cb27645108c21b7d08267709eaf41c28260329a33afc02bb029","2","989bee15bb5ee8461203a4cf41bf0427b72d9b7a7b39298e404fcf843f135299","false"
"Col-E/BentoFX",".github/workflows/build.yml","8f908f81bef393ea55d58f33734cfce9256a6fbe","c63b2d846be9047f3a6f831dda5b22cd8712f16b","https://github.com/Col-E/BentoFX/blob/8f908f81bef393ea55d58f33734cfce9256a6fbe/.github/workflows/build.yml","48","B1","[""Q011""]","[{""queryId"":""Q011"",""rank"":591}]","[""jreleaser""]","2026-07-26T13:53:38.829Z","2026-07-26T14:12:51.698Z","000e70770cbba847ef563e201eef37a7b9d199b57817c2eeede0fc5328390e44","1","ca41e64f50649cca13ee400a7682b35b4e114783521736902c159b5555fdceae","false"
"ThiagoPVLima/Cybis-Cafe-Page",".github/workflows/release.yml","319b113999de88d0175d178215b8ef2304828796","13a402e94f5ca6ee97a9145384d6edc8c2d598ba","https://github.com/ThiagoPVLima/Cybis-Cafe-Page/blob/319b113999de88d0175d178215b8ef2304828796/.github/workflows/release.yml","0","B1","[""Q003""]","[{""queryId"":""Q003"",""rank"":295}]","[""semantic-release""]","2026-07-26T13:42:36.242Z","2026-07-26T14:34:53.345Z","001df266e47c9816c9dc7fa345675e9826033b4dcfca82b0beabb11d31dadbde","1","52f754a73f0bf90262132359e27b547b04ef084a032c78d015349d07d7772ea1","false"
"MohammadBnei/5iw4-ninja-task",".github/workflows/release.yml","c5aca911ce2c3e2a199f806993a8ff5df28cd3dd","8901f181c1998805def15aa558f5b5c8bdd7b971","https://github.com/MohammadBnei/5iw4-ninja-task/blob/c5aca911ce2c3e2a199f806993a8ff5df28cd3dd/.github/workflows/release.yml","0","B1","[""Q009""]","[{""queryId"":""Q009"",""rank"":481}]","[""release-it""]","2026-07-26T13:51:42.409Z","2026-07-26T14:25:36.772Z","002105acbe114aeafb234ee1a5b0a1cf3074424b31a20956706055c962f362ab","1","3b4f4100f7dafa5d9928113efe8124df04f337f5f794c716bb8d8552c1232d4e","false"
"CBenoit/file-server",".github/workflows/release.yml","11f7f8891ac8c4e8fe0ca309be2722ac4f8affe4","f6e754702d47554fd4cf29ee0b575f244abb5920","https://github.com/CBenoit/file-server/blob/11f7f8891ac8c4e8fe0ca309be2722ac4f8affe4/.github/workflows/release.yml","0","B1","[""Q013"",""Q015""]","[{""queryId"":""Q013"",""rank"":489},{""queryId"":""Q015"",""rank"":214}]","[""cargo-dist""]","2026-07-26T13:55:05.766Z","2026-07-26T14:11:55.835Z","0021f3c2a04fceabf6e45c9047f134a12e6d3b95760e905f80c7651b017288a3","2","3ea544f332d0a8fa451e9ddfbf3e35a6600e82e88a7aacf378d1c310b808e10c","false"
"Sefaria/slack-mcp",".github/workflows/release.yaml","19f98c9edffb6ac10ff705ca36af3b326c0df756","7fa5b9f9c9dde0b68eda71e8c446345b148e5fc2","https://github.com/Sefaria/slack-mcp/blob/19f98c9edffb6ac10ff705ca36af3b326c0df756/.github/workflows/release.yaml","2","B1","[""Q004""]","[{""queryId"":""Q004"",""rank"":992}]","[""semantic-release""]","2026-07-26T13:44:58.864Z","2026-07-26T14:31:57.192Z","002d6d1e3490f4a54a69b98c079372392ee94e3ac45aeb268d320b2ace36351f","1","a4801fb2456622be1726484ca6958d81285166bb1c272414a4d1734ea565ec65","false"
"world-wide-development/dynamic-jwks-spring-boot-starter",".github/workflows/git-hub-action-release-ci-cd.yml","045dfd3c80e195af61a7eec9d7a4a77f7ff33818","63dab9a3e5a91cc9680882bc520c61d7a0d60398","https://github.com/world-wide-development/dynamic-jwks-spring-boot-starter/blob/045dfd3c80e195af61a7eec9d7a4a77f7ff33818/.github/workflows/git-hub-action-release-ci-cd.yml","4","B1","[""Q011""]","[{""queryId"":""Q011"",""rank"":478}]","[""jreleaser""]","2026-07-26T13:53:32.498Z","2026-07-26T14:37:13.647Z","003961109adb9fa344a44238253f2cd5e9c7c56681ad1f4231ec104c8d4b577d","2","f3cc9863d6aaa00c1e63476ef346aef7abd7f6d756442b3f7337ed3eca529a64","false"
"meabed/agenda-ts",".github/workflows/release.yml","3c95ca363b5f865e935a955bbcf8c6d7ba388bc8","49883a96b988bf8c33c34ce120e65c225ad5db9a","https://github.com/meabed/agenda-ts/blob/3c95ca363b5f865e935a955bbcf8c6d7ba388bc8/.github/workflows/release.yml","1","B1","[""Q003""]","[{""queryId"":""Q003"",""rank"":661}]","[""semantic-release""]","2026-07-26T13:43:12.329Z","2026-07-26T14:24:51.090Z","003e807bf6ffef6223db4c68fa69a16e450ac5d1a543bca7e050d3d388999141","1","c38878181b6900188f13fb11210db076d4e5914e9f9db4658d1cf92b2c545d85","false"
"jbangdev/jbang-devkitman",".github/workflows/tag-and-release.yml","4d6db0f8d2642a9e7d0886a194f3832416b315dc","ab56ce51f38ec6395b5acf4df7745a065c9a34ce","https://github.com/jbangdev/jbang-devkitman/blob/4d6db0f8d2642a9e7d0886a194f3832416b315dc/.github/workflows/tag-and-release.yml","5","B1","[""Q011""]","[{""queryId"":""Q011"",""rank"":358}]","[""jreleaser""]","2026-07-26T13:53:15.826Z","2026-07-26T14:20:20.274Z","003fc7fd9da5ac26c508b4cdf3f67aa853ed3fcf0bcda491c5d38d595057d4c3","1","86275de156be924228d0e00b9872a8d75198d8ffadf4a529eb97dd9f23f33fcd","false"
"rijkvp/movebeam",".github/workflows/release.yml","9b070cc034ab7c6e8278a388a342a32928f4f5fd","64704cdd84d390246bc9011b6635fe09d350d1da","https://github.com/rijkvp/movebeam/blob/9b070cc034ab7c6e8278a388a342a32928f4f5fd/.github/workflows/release.yml","0","B1","[""Q015""]","[{""queryId"":""Q015"",""rank"":282}]","[""cargo-dist""]","2026-07-26T13:56:48.512Z","2026-07-26T14:30:33.640Z","004704e7b4d2308fa0830a369ae4b0e8a48c7db6e7b9b43585f8d25b6f39e680","2","26a4e1b1077604ab7775b6aa18aff90d06251e8b4262ae3e96ad948431df62ec","false"
