tool,band,workflows
"cargo-dist","B1","17"
"cargo-dist","B2","19"
"cargo-dist","B3","17"
"cargo-dist","B4","10"
"changesets","B1","20"
"changesets","B2","25"
"changesets","B3","24"
"changesets","B4","21"
"goreleaser","B1","23"
"goreleaser","B2","30"
"goreleaser","B3","37"
"goreleaser","B4","13"
"jreleaser","B1","16"
"jreleaser","B2","15"
"jreleaser","B3","15"
"jreleaser","B4","7"
"release-it","B1","12"
"release-it","B2","14"
"release-it","B3","13"
"release-it","B4","5"
"release-please","B1","18"
"release-please","B2","11"
"release-please","B3","11"
"release-please","B4","3"
"release-plz","B1","13"
"release-plz","B2","14"
"release-plz","B3","12"
"release-plz","B4","3"
"semantic-release","B1","31"
"semantic-release","B2","23"
"semantic-release","B3","21"
"semantic-release","B4","5"
