tool,kind,raw,normalized,occurrences,workflows
"cargo-dist","cli-flag","--output-format","--output-format","176","62"
"cargo-dist","cli-flag","--artifacts","--artifacts","57","56"
"cargo-dist","cli-flag","--print","--print","52","51"
"cargo-dist","cli-flag","--steps","--steps","102","51"
"cargo-dist","cli-flag","--tag","--tag","20","10"
"cargo-dist","cli-flag","--no-local-paths","--no-local-paths","6","6"
"cargo-dist","cli-flag","--allow-dirty","--allow-dirty","3","1"
"cargo-dist","cli-flag","--target","--target","1","1"
"changesets","action-input","publish","publish","70","69"
"changesets","action-input","title","title","43","43"
"changesets","action-input","commit","commit","40","40"
"changesets","action-input","version","version","39","38"
"changesets","action-input","createGithubReleases","createGithubReleases","11","11"
"changesets","action-input","cwd","cwd","5","5"
"changesets","action-input","setupGitUser","setupGitUser","4","4"
"changesets","action-input","branch","branch","2","1"
"changesets","action-input","commitMode","commitMode","1","1"
"changesets","action-input","github-token","github-token","1","1"
"changesets","action-input","pack-dir-artifact-id","pack-dir-artifact-id","1","1"
"changesets","action-input","publish-plan-artifact-id","publish-plan-artifact-id","1","1"
"changesets","action-input","script","script","1","1"
"changesets","cli-flag","--snapshot","--snapshot","5","5"
"changesets","cli-flag","--since","--since","4","4"
"changesets","cli-flag","--tag","--tag","5","4"
"changesets","cli-flag","--no-git-tag","--no-git-tag","3","2"
"changesets","cli-flag","--bun","--bun","1","1"
"changesets","cli-flag","--output","--output","1","1"
"changesets","cli-flag","--pre","--pre","1","1"
"goreleaser","action-input","args","args","108","100"
"goreleaser","action-input","version","version","102","95"
"goreleaser","action-input","distribution","distribution","48","43"
"goreleaser","action-input","workdir","workdir","9","6"
"goreleaser","action-input","install-only","install-only","2","2"
"goreleaser","cli-flag","--clean","--clean","83","77"
"goreleaser","cli-flag","--snapshot","--snapshot","19","19"
"goreleaser","cli-flag","--rm-dist","--rm-dist","16","16"
"goreleaser","cli-flag","--skip","--skip","24","16"
"goreleaser","cli-flag","--config","--config","9","7"
"goreleaser","cli-flag","--release-notes","--release-notes","6","6"
"goreleaser","cli-flag","--timeout","--timeout","8","6"
"goreleaser","cli-flag","--parallelism","--parallelism","3","3"
"goreleaser","cli-flag","--skip-publish","--skip-publish","3","3"
"goreleaser","cli-flag","--single-target","--single-target","2","2"
"goreleaser","cli-flag","--fail-fast","--fail-fast","1","1"
"goreleaser","cli-flag","--merge","--merge","1","1"
"goreleaser","cli-flag","--release-header-tmpl","--release-header-tmpl","2","1"
"goreleaser","cli-flag","--split","--split","2","1"
"goreleaser","cli-flag","--verbose","--verbose","1","1"
"jreleaser","action-input","arguments","arguments","12","9"
"jreleaser","action-input","version","version","9","6"
"jreleaser","action-input","setup-java","setup-java","3","2"
"jreleaser","cli-flag","--file","--file","8","8"
"jreleaser","cli-flag","--no-daemon","--no-daemon","8","5"
"jreleaser","cli-flag","--stacktrace","--stacktrace","4","4"
"jreleaser","cli-flag","--no-configuration-cache","--no-configuration-cache","3","3"
"jreleaser","cli-flag","--no-transfer-progress","--no-transfer-progress","3","3"
"jreleaser","cli-flag","--build-cache","--build-cache","3","2"
"jreleaser","cli-flag","--scan","--scan","2","2"
"jreleaser","cli-flag","--announcer","--announcer","1","1"
"jreleaser","cli-flag","--announcer-name","--announcer-name","1","1"
"jreleaser","cli-flag","--assembler-name","--assembler-name","2","1"
"jreleaser","cli-flag","--assembler-type","--assembler-type","2","1"
"jreleaser","cli-flag","--auto-config","--auto-config","1","1"
"jreleaser","cli-flag","--basedir","--basedir","1","1"
"jreleaser","cli-flag","--batch-mode","--batch-mode","1","1"
"jreleaser","cli-flag","--config-file","--config-file","1","1"
"jreleaser","cli-flag","--distribution","--distribution","1","1"
"jreleaser","cli-flag","--distribution-name","--distribution-name","1","1"
"jreleaser","cli-flag","--dry-run","--dry-run","8","1"
"jreleaser","cli-flag","--format","--format","6","1"
"jreleaser","cli-flag","--no-parallel","--no-parallel","1","1"
