dimension,value,subtype,count,denominator,share
"overall","all","EXPLICIT_APPROVAL_ACTION_OR_JOB","1","517","0.0019342359767891683"
"overall","all","PUBLISH_JOB_DISPATCH_CONDITION","6","517","0.01160541586073501"
"overall","all","UNVERIFIED_ENVIRONMENT","37","517","0.07156673114119923"
"overall","all","WORKFLOW_DISPATCH_ONLY","65","517","0.12572533849129594"
"tool","cargo-dist","WORKFLOW_DISPATCH_ONLY","3","63","0.047619047619047616"
"tool","changesets","UNVERIFIED_ENVIRONMENT","8","90","0.08888888888888889"
"tool","changesets","WORKFLOW_DISPATCH_ONLY","5","90","0.05555555555555555"
"tool","goreleaser","UNVERIFIED_ENVIRONMENT","6","103","0.05825242718446602"
"tool","jreleaser","PUBLISH_JOB_DISPATCH_CONDITION","3","53","0.05660377358490566"
"tool","jreleaser","UNVERIFIED_ENVIRONMENT","2","53","0.03773584905660377"
"tool","jreleaser","WORKFLOW_DISPATCH_ONLY","23","53","0.4339622641509434"
"tool","release-it","PUBLISH_JOB_DISPATCH_CONDITION","1","44","0.022727272727272728"
"tool","release-it","UNVERIFIED_ENVIRONMENT","2","44","0.045454545454545456"
"tool","release-it","WORKFLOW_DISPATCH_ONLY","24","44","0.5454545454545454"
"tool","release-please","UNVERIFIED_ENVIRONMENT","1","43","0.023255813953488372"
"tool","release-please","WORKFLOW_DISPATCH_ONLY","1","43","0.023255813953488372"
"tool","release-plz","PUBLISH_JOB_DISPATCH_CONDITION","1","42","0.023809523809523808"
"tool","release-plz","UNVERIFIED_ENVIRONMENT","8","42","0.19047619047619047"
"tool","semantic-release","EXPLICIT_APPROVAL_ACTION_OR_JOB","1","80","0.0125"
"tool","semantic-release","PUBLISH_JOB_DISPATCH_CONDITION","1","80","0.0125"
"tool","semantic-release","UNVERIFIED_ENVIRONMENT","10","80","0.125"
"tool","semantic-release","WORKFLOW_DISPATCH_ONLY","9","80","0.1125"
"band","B1","EXPLICIT_APPROVAL_ACTION_OR_JOB","1","150","0.006666666666666667"
"band","B1","PUBLISH_JOB_DISPATCH_CONDITION","3","150","0.02"
"band","B1","UNVERIFIED_ENVIRONMENT","8","150","0.05333333333333334"
"band","B1","WORKFLOW_DISPATCH_ONLY","10","150","0.06666666666666667"
"band","B2","PUBLISH_JOB_DISPATCH_CONDITION","2","150","0.013333333333333334"
"band","B2","UNVERIFIED_ENVIRONMENT","12","150","0.08"
"band","B2","WORKFLOW_DISPATCH_ONLY","19","150","0.12666666666666668"
"band","B3","PUBLISH_JOB_DISPATCH_CONDITION","1","150","0.006666666666666667"
"band","B3","UNVERIFIED_ENVIRONMENT","12","150","0.08"
"band","B3","WORKFLOW_DISPATCH_ONLY","24","150","0.16"
"band","B4","UNVERIFIED_ENVIRONMENT","5","67","0.07462686567164178"
"band","B4","WORKFLOW_DISPATCH_ONLY","12","67","0.1791044776119403"
