dimension,value,gate,count,denominator,share
"overall","all","CONFIRMED_MANUAL","71","517","0.13733075435203096"
"overall","all","POTENTIAL_ENVIRONMENT_GATE","32","517","0.061895551257253385"
"overall","all","AUTOMATIC_GATED","414","517","0.8007736943907157"
"overall","all","NO_OBSERVED_GATE","0","517","0"
"overall","all","UNRESOLVED_GATE","0","517","0"
"tool","cargo-dist","CONFIRMED_MANUAL","3","63","0.047619047619047616"
"tool","cargo-dist","POTENTIAL_ENVIRONMENT_GATE","0","63","0"
"tool","cargo-dist","AUTOMATIC_GATED","60","63","0.9523809523809523"
"tool","cargo-dist","NO_OBSERVED_GATE","0","63","0"
"tool","cargo-dist","UNRESOLVED_GATE","0","63","0"
"tool","changesets","CONFIRMED_MANUAL","5","90","0.05555555555555555"
"tool","changesets","POTENTIAL_ENVIRONMENT_GATE","7","90","0.07777777777777778"
"tool","changesets","AUTOMATIC_GATED","78","90","0.8666666666666667"
"tool","changesets","NO_OBSERVED_GATE","0","90","0"
"tool","changesets","UNRESOLVED_GATE","0","90","0"
"tool","goreleaser","CONFIRMED_MANUAL","0","103","0"
"tool","goreleaser","POTENTIAL_ENVIRONMENT_GATE","6","103","0.05825242718446602"
"tool","goreleaser","AUTOMATIC_GATED","97","103","0.941747572815534"
"tool","goreleaser","NO_OBSERVED_GATE","0","103","0"
"tool","goreleaser","UNRESOLVED_GATE","0","103","0"
"tool","jreleaser","CONFIRMED_MANUAL","26","53","0.49056603773584906"
"tool","jreleaser","POTENTIAL_ENVIRONMENT_GATE","1","53","0.018867924528301886"
"tool","jreleaser","AUTOMATIC_GATED","26","53","0.49056603773584906"
"tool","jreleaser","NO_OBSERVED_GATE","0","53","0"
"tool","jreleaser","UNRESOLVED_GATE","0","53","0"
"tool","release-it","CONFIRMED_MANUAL","25","44","0.5681818181818182"
"tool","release-it","POTENTIAL_ENVIRONMENT_GATE","0","44","0"
"tool","release-it","AUTOMATIC_GATED","19","44","0.4318181818181818"
"tool","release-it","NO_OBSERVED_GATE","0","44","0"
"tool","release-it","UNRESOLVED_GATE","0","44","0"
"tool","release-please","CONFIRMED_MANUAL","1","43","0.023255813953488372"
"tool","release-please","POTENTIAL_ENVIRONMENT_GATE","1","43","0.023255813953488372"
"tool","release-please","AUTOMATIC_GATED","41","43","0.9534883720930233"
"tool","release-please","NO_OBSERVED_GATE","0","43","0"
"tool","release-please","UNRESOLVED_GATE","0","43","0"
"tool","release-plz","CONFIRMED_MANUAL","1","42","0.023809523809523808"
"tool","release-plz","POTENTIAL_ENVIRONMENT_GATE","8","42","0.19047619047619047"
"tool","release-plz","AUTOMATIC_GATED","33","42","0.7857142857142857"
"tool","release-plz","NO_OBSERVED_GATE","0","42","0"
"tool","release-plz","UNRESOLVED_GATE","0","42","0"
"tool","semantic-release","CONFIRMED_MANUAL","10","80","0.125"
"tool","semantic-release","POTENTIAL_ENVIRONMENT_GATE","9","80","0.1125"
"tool","semantic-release","AUTOMATIC_GATED","61","80","0.7625"
"tool","semantic-release","NO_OBSERVED_GATE","0","80","0"
"tool","semantic-release","UNRESOLVED_GATE","0","80","0"
"band","B1","CONFIRMED_MANUAL","13","150","0.08666666666666667"
"band","B1","POTENTIAL_ENVIRONMENT_GATE","6","150","0.04"
"band","B1","AUTOMATIC_GATED","131","150","0.8733333333333333"
"band","B1","NO_OBSERVED_GATE","0","150","0"
"band","B1","UNRESOLVED_GATE","0","150","0"
"band","B2","CONFIRMED_MANUAL","21","150","0.14"
"band","B2","POTENTIAL_ENVIRONMENT_GATE","10","150","0.06666666666666667"
"band","B2","AUTOMATIC_GATED","119","150","0.7933333333333333"
"band","B2","NO_OBSERVED_GATE","0","150","0"
"band","B2","UNRESOLVED_GATE","0","150","0"
"band","B3","CONFIRMED_MANUAL","25","150","0.16666666666666666"
"band","B3","POTENTIAL_ENVIRONMENT_GATE","12","150","0.08"
"band","B3","AUTOMATIC_GATED","113","150","0.7533333333333333"
"band","B3","NO_OBSERVED_GATE","0","150","0"
"band","B3","UNRESOLVED_GATE","0","150","0"
"band","B4","CONFIRMED_MANUAL","12","67","0.1791044776119403"
"band","B4","POTENTIAL_ENVIRONMENT_GATE","4","67","0.05970149253731343"
"band","B4","AUTOMATIC_GATED","51","67","0.7611940298507462"
"band","B4","NO_OBSERVED_GATE","0","67","0"
"band","B4","UNRESOLVED_GATE","0","67","0"
