dimension,value,field,count,denominator,share
"overall","all","concurrency","134","517","0.25918762088974856"
"overall","all","retry","6","517","0.01160541586073501"
"overall","all","releaseOrTagExistenceCheck","13","517","0.025145067698259187"
"overall","all","registryOrVersionExistenceCheck","5","517","0.009671179883945842"
"overall","all","idempotencyOrImmutable","0","517","0"
"overall","all","skipIfPublished","20","517","0.03868471953578337"
"overall","all","persistedArtifactOrEvidence","136","517","0.26305609284332687"
"overall","all","manualRerunOnly","65","517","0.12572533849129594"
"overall","all","noVisibleGuard","228","517","0.4410058027079304"
"overall","all","unresolved","0","517","0"
"tool","cargo-dist","concurrency","3","63","0.047619047619047616"
"tool","cargo-dist","retry","1","63","0.015873015873015872"
"tool","cargo-dist","releaseOrTagExistenceCheck","1","63","0.015873015873015872"
"tool","cargo-dist","registryOrVersionExistenceCheck","0","63","0"
"tool","cargo-dist","idempotencyOrImmutable","0","63","0"
"tool","cargo-dist","skipIfPublished","1","63","0.015873015873015872"
"tool","cargo-dist","persistedArtifactOrEvidence","54","63","0.8571428571428571"
"tool","cargo-dist","manualRerunOnly","3","63","0.047619047619047616"
"tool","cargo-dist","noVisibleGuard","8","63","0.12698412698412698"
"tool","cargo-dist","unresolved","0","63","0"
"tool","changesets","concurrency","59","90","0.6555555555555556"
"tool","changesets","retry","2","90","0.022222222222222223"
"tool","changesets","releaseOrTagExistenceCheck","2","90","0.022222222222222223"
"tool","changesets","registryOrVersionExistenceCheck","2","90","0.022222222222222223"
"tool","changesets","idempotencyOrImmutable","0","90","0"
"tool","changesets","skipIfPublished","6","90","0.06666666666666667"
"tool","changesets","persistedArtifactOrEvidence","7","90","0.07777777777777778"
"tool","changesets","manualRerunOnly","5","90","0.05555555555555555"
"tool","changesets","noVisibleGuard","27","90","0.3"
"tool","changesets","unresolved","0","90","0"
"tool","goreleaser","concurrency","8","103","0.07766990291262135"
"tool","goreleaser","retry","2","103","0.019417475728155338"
"tool","goreleaser","releaseOrTagExistenceCheck","5","103","0.04854368932038835"
"tool","goreleaser","registryOrVersionExistenceCheck","0","103","0"
"tool","goreleaser","idempotencyOrImmutable","0","103","0"
"tool","goreleaser","skipIfPublished","1","103","0.009708737864077669"
"tool","goreleaser","persistedArtifactOrEvidence","18","103","0.17475728155339806"
"tool","goreleaser","manualRerunOnly","0","103","0"
"tool","goreleaser","noVisibleGuard","78","103","0.7572815533980582"
"tool","goreleaser","unresolved","0","103","0"
"tool","jreleaser","concurrency","2","53","0.03773584905660377"
"tool","jreleaser","retry","0","53","0"
"tool","jreleaser","releaseOrTagExistenceCheck","2","53","0.03773584905660377"
"tool","jreleaser","registryOrVersionExistenceCheck","0","53","0"
"tool","jreleaser","idempotencyOrImmutable","0","53","0"
"tool","jreleaser","skipIfPublished","3","53","0.05660377358490566"
"tool","jreleaser","persistedArtifactOrEvidence","31","53","0.5849056603773585"
"tool","jreleaser","manualRerunOnly","23","53","0.4339622641509434"
"tool","jreleaser","noVisibleGuard","16","53","0.3018867924528302"
"tool","jreleaser","unresolved","0","53","0"
"tool","release-it","concurrency","6","44","0.13636363636363635"
"tool","release-it","retry","1","44","0.022727272727272728"
"tool","release-it","releaseOrTagExistenceCheck","0","44","0"
"tool","release-it","registryOrVersionExistenceCheck","0","44","0"
"tool","release-it","idempotencyOrImmutable","0","44","0"
"tool","release-it","skipIfPublished","1","44","0.022727272727272728"
"tool","release-it","persistedArtifactOrEvidence","4","44","0.09090909090909091"
"tool","release-it","manualRerunOnly","24","44","0.5454545454545454"
"tool","release-it","noVisibleGuard","13","44","0.29545454545454547"
"tool","release-it","unresolved","0","44","0"
"tool","release-please","concurrency","6","43","0.13953488372093023"
"tool","release-please","retry","0","43","0"
"tool","release-please","releaseOrTagExistenceCheck","1","43","0.023255813953488372"
"tool","release-please","registryOrVersionExistenceCheck","0","43","0"
"tool","release-please","idempotencyOrImmutable","0","43","0"
"tool","release-please","skipIfPublished","1","43","0.023255813953488372"
"tool","release-please","persistedArtifactOrEvidence","6","43","0.13953488372093023"
"tool","release-please","manualRerunOnly","1","43","0.023255813953488372"
"tool","release-please","noVisibleGuard","31","43","0.7209302325581395"
"tool","release-please","unresolved","0","43","0"
"tool","release-plz","concurrency","36","42","0.8571428571428571"
"tool","release-plz","retry","0","42","0"
"tool","release-plz","releaseOrTagExistenceCheck","1","42","0.023809523809523808"
