dimension,value,shape,count,denominator,share
"band","B1","SINGLE_VERB","128","150","0.8533333333333334"
"band","B1","PLAN_THEN_ACT","18","150","0.12"
"band","B1","INDEPENDENT_VERBS","0","150","0"
"band","B1","OTHER","4","150","0.02666666666666667"
"band","B2","SINGLE_VERB","121","150","0.8066666666666666"
"band","B2","PLAN_THEN_ACT","23","150","0.15333333333333332"
"band","B2","INDEPENDENT_VERBS","0","150","0"
"band","B2","OTHER","6","150","0.04"
"band","B3","SINGLE_VERB","127","150","0.8466666666666667"
"band","B3","PLAN_THEN_ACT","18","150","0.12"
"band","B3","INDEPENDENT_VERBS","1","150","0.006666666666666667"
"band","B3","OTHER","4","150","0.02666666666666667"
"band","B4","SINGLE_VERB","54","67","0.8059701492537313"
"band","B4","PLAN_THEN_ACT","10","67","0.14925373134328357"
"band","B4","INDEPENDENT_VERBS","0","67","0"
"band","B4","OTHER","3","67","0.04477611940298507"
