dimension,value,shape,count,denominator,share
"tool","cargo-dist","SINGLE_VERB","2","63","0.031746031746031744"
"tool","cargo-dist","PLAN_THEN_ACT","57","63","0.9047619047619048"
"tool","cargo-dist","INDEPENDENT_VERBS","0","63","0"
"tool","cargo-dist","OTHER","4","63","0.06349206349206349"
"tool","changesets","SINGLE_VERB","75","90","0.8333333333333334"
"tool","changesets","PLAN_THEN_ACT","10","90","0.1111111111111111"
"tool","changesets","INDEPENDENT_VERBS","1","90","0.011111111111111112"
"tool","changesets","OTHER","4","90","0.044444444444444446"
"tool","goreleaser","SINGLE_VERB","101","103","0.9805825242718447"
"tool","goreleaser","PLAN_THEN_ACT","0","103","0"
"tool","goreleaser","INDEPENDENT_VERBS","0","103","0"
"tool","goreleaser","OTHER","2","103","0.019417475728155338"
"tool","jreleaser","SINGLE_VERB","45","53","0.8490566037735849"
"tool","jreleaser","PLAN_THEN_ACT","2","53","0.03773584905660377"
"tool","jreleaser","INDEPENDENT_VERBS","0","53","0"
"tool","jreleaser","OTHER","6","53","0.11320754716981132"
"tool","release-it","SINGLE_VERB","44","44","1"
"tool","release-it","PLAN_THEN_ACT","0","44","0"
"tool","release-it","INDEPENDENT_VERBS","0","44","0"
"tool","release-it","OTHER","0","44","0"
"tool","release-please","SINGLE_VERB","41","43","0.9534883720930233"
"tool","release-please","PLAN_THEN_ACT","0","43","0"
"tool","release-please","INDEPENDENT_VERBS","0","43","0"
"tool","release-please","OTHER","2","43","0.046511627906976744"
"tool","release-plz","SINGLE_VERB","42","42","1"
"tool","release-plz","PLAN_THEN_ACT","0","42","0"
"tool","release-plz","INDEPENDENT_VERBS","0","42","0"
"tool","release-plz","OTHER","0","42","0"
"tool","semantic-release","SINGLE_VERB","80","80","1"
"tool","semantic-release","PLAN_THEN_ACT","0","80","0"
"tool","semantic-release","INDEPENDENT_VERBS","0","80","0"
"tool","semantic-release","OTHER","0","80","0"
